id,name,subtitle,teaser,author_id,blog_id,tag_ids,website_published,is_published,post_date,cover_properties,event_id,cimg,version_id,created_at,updated_at,status
_demo.post_001,Forum-Theater verändert Nachbarschaften,Wie partizipatives Theater Konflikte löst,"Anna Weber berichtet von 15 Jahren Erfahrung mit Forum-Theater in München. Ihre Workshops zeigen, wie Bürger*innen durch interaktives Theater Lösungen für Alltagskonflikte entwickeln und demokratische Teilhabe stärken.",_demo.instructor_01,blog.blog_1,,True,True,2025-10-15,{},_demo.event_forum_theater_schwabing,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=1200&h=800&fit=crop,,,,active
_demo.post_002,Kinder erobern die Bühne,Improtheater als Schlüssel zur Kreativität,"Thomas Schneider entwickelt innovative Methoden für Kindertheater. In seinem neuesten Workshop entdecken 8-12-Jährige die Magie des Improvisierens - ohne Skript, dafür mit umso mehr Fantasie und Teamgeist.",_demo.instructor_02,blog.blog_1,,True,True,2025-10-18,{},_demo.event_impro_kids_giesing,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=1200&h=800&fit=crop,,,,active
_demo.post_003,Theater als Heilung: Trauma-sensitive Arbeit,Fatimas Weg vom Irak nach Bayern,"Fatima Al-Rashid kam 2015 aus dem Irak nach Deutschland. Heute leitet sie Applied Theatre Workshops für Geflüchtete. Ihre Arbeit zeigt, wie Theater Traumata verarbeiten hilft und neue Perspektiven eröffnet.",_demo.instructor_03,blog.blog_1,,True,True,2025-10-20,{},"_demo.event_applied_theatre_sendling,_demo.event_ensemble_milbertshofen",https://images.unsplash.com/photo-1580489944761-15a19d654956?w=1200&h=800&fit=crop,,,,active
_demo.post_004,Klimagerechtigkeit auf der Bühne,Applied Theatre für gesellschaftlichen Wandel,"Wenn Theater zum Werkzeug für Veränderung wird: Unser Workshop zu Klimagerechtigkeit bringt junge Menschen zusammen, um durch Performance komplexe Umweltthemen zu durchdringen und Handlungsalternativen zu entwickeln.",_demo.instructor_04,blog.blog_1,,True,True,2025-10-22,{},_demo.event_applied_theatre_sendling,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=1200&h=800&fit=crop,,,,active
_demo.post_005,Körper sprechen lassen,Physical Theatre in der Jugendarbeit,"Sarah Richter verbindet Tanz und Theater zu kraftvollen Ausdrucksformen. Ihre Bewegungstheater-Workshops zeigen, wie Körpersprache Grenzen überwindet und Jugendliche neue Wege der Kommunikation entdecken.",_demo.instructor_05,blog.blog_1,,True,True,2025-10-25,{},_demo.event_bewegungstheater_neuhausen,https://images.unsplash.com/photo-1518032818693-c0c149476558?w=1200&h=800&fit=crop,,,,active
_demo.post_006,Brücken bauen über Grenzen,Deutsch-tschechische Theaterbegegnung,Dmytro Kovalenko aus der Ukraine organisiert mit Katarina Svoboda aus Plzeň ein viertägiges Theaterprojekt. Deutsche und tschechische Jugendliche überwinden Sprachbarrieren durch gemeinsame Performance.,_demo.instructor_06,blog.blog_1,,True,True,2025-10-28,{},_demo.event_deutsch_tschechisch_pasing,https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=1200&h=800&fit=crop,,,,active
_demo.post_007,Märchen neu gedacht,Drama in Education im Schulkontext,Klassische Märchen aus verschiedenen Perspektiven erzählen - das ist das Ziel unseres schulischen Theaterprojekts. Schüler*innen hinterfragen gewohnte Narrative und entwickeln eigene Interpretationen bekannter Geschichten.,_demo.instructor_03,blog.blog_1,,True,True,2025-11-01,{},_demo.event_schultheater_haidhausen,https://images.unsplash.com/photo-1516627145497-ae6968895b74?w=1200&h=800&fit=crop,,,,active
_demo.post_008,"Unser Viertel, unsere Geschichten",Community Theater in Berg am Laim,"Nachbar*innen werden zu Autor*innen und Schauspieler*innen ihrer eigenen Stadtteilgeschichten. Das Community Theater Projekt zeigt, wie lokale Themen auf die Bühne gebracht werden und Gemeinschaft stärken.",_demo.instructor_06,blog.blog_1,,True,True,2025-11-03,{},_demo.event_community_berg_am_laim,https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=1200&h=800&fit=crop,,,,active
_demo.post_009,Kollektive Kreation,Demokratisches Theater entwickeln,Wie entstehen Performances ohne einen einzelnen Regisseur? Unser Ensemble-Workshop zeigt kollektive Kreationsprozesse und demokratische Entscheidungsfindung im Theater - ein Experiment in geteilter Autorschaft.,_demo.instructor_08,blog.blog_1,,True,True,2025-11-05,{},_demo.event_ensemble_milbertshofen,https://images.unsplash.com/photo-1503095396549-807759245b35?w=1200&h=800&fit=crop,,,,active
_demo.post_010,Theater der Unterdrückten: Grundlagen,Augusto Boals Methoden in der Praxis,Eine Einführung in die revolutionären Theatermethoden Augusto Boals. Diese 3-tägige Fortbildung vermittelt Multiplikator*innen praktische Werkzeuge für gesellschaftskritisches und partizipatives Theater.,_demo.instructor_01,blog.blog_1,,True,True,2025-11-08,{},_demo.event_tdo_fortbildung,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=1200&h=800&fit=crop,,,,active
_demo.post_011,Mut durch Rollenspiel,Kindertheater gegen Angst,"Oliver Schulz kombiniert Musik und Theater, um Kindern zu helfen, mutig zu sein. Sein Workshop 'Mut tut gut' zeigt, wie Rollenspiele Selbstvertrauen stärken und Kinder ermutigen, für sich einzustehen.",_demo.instructor_10,blog.blog_1,,True,True,2025-11-10,{},_demo.event_kids_theater_moosach,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=1200&h=800&fit=crop,,,,active
_demo.post_012,Geschichten aus Mali für deutsche Kinder,Interkulturelles Kindertheater,"Amara Diallo bringt westafrikanische Erzähltraditionen nach Bayern. Seit 2018 arbeitet sie mit geflüchteten Kindern und zeigt, wie verschiedene Kulturen durch Theater zueinander finden können.",_demo.instructor_11,blog.blog_1,,True,True,2025-11-12,{},_demo.event_kids_impro_trudering,https://images.unsplash.com/photo-1519340241574-2cec6aef0c01?w=1200&h=800&fit=crop,,,,active
_demo.post_013,Von der Idee zur Bühnenerzählung,Storytelling Workshop Erfahrungen,"Mehmet Özkan führt durch die Kunst des performativen Erzählens. Als deutsch-türkischer Schauspieler verbindet er verschiedene Erzähltraditionen und hilft Teilnehmer*innen, ihre eigenen Geschichten zu finden.",_demo.instructor_08,blog.blog_1,,True,True,2025-11-15,{},_demo.event_storytelling_bogenhausen,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=1200&h=800&fit=crop,,,,active
_demo.post_014,Bayerns größtes Jugendtheaterfestival,3 Tage voller Performances und Workshops,Frank Zimmermann organisiert das Jugendtheaterfestival Riem mit 150 Teilnehmer*innen aus ganz Bayern. Drei Tage lang präsentieren junge Ensembles ihre Arbeiten und tauschen sich über innovative Theaterformen aus.,_demo.instructor_14,blog.blog_1,,True,True,2025-11-18,{},_demo.event_youth_festival_riem,https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=1200&h=800&fit=crop,,,,active
_demo.post_015,Performance Art trifft Aktivismus,Experimentelles Theater als gesellschaftliche Intervention,"Sebastian Wolf leitet Workshops, die Performance Art und politischen Aktivismus verbinden. Seine Arbeit zeigt, wie experimentelle Theaterformen gesellschaftliche Diskurse beeinflussen und Veränderungen anstoßen können.",_demo.instructor_12,blog.blog_1,,True,True,2025-11-20,{},_demo.event_experimental_aubing,https://images.unsplash.com/photo-1518032818693-c0c149476558?w=1200&h=800&fit=crop,,,,active
_demo.post_016,Geschichten aus dem Nichts,Kinder als Impro-Künstler*innen,"Wie entstehen Geschichten spontan? Unser Kinder-Impro Workshop zeigt 7-12-Jährigen, wie aus wenigen Impulsen ganze Welten entwickelt werden. Kreativität und Teamarbeit stehen im Mittelpunkt dieser spielerischen Theaterform.",_demo.instructor_02,blog.blog_1,,True,True,2025-11-22,{},_demo.event_kids_impro_trudering,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=1200&h=800&fit=crop,,,,active
_demo.post_017,Theater im Kiez: Laim erzählt,Nachbarschaftstheater mit Kaffee und Kuchen,Dmytro Kovalenko entwickelt niedrigschwellige Theaterformate für Nachbarschaften. Beim Nachbarschaftstheater Laim treffen sich Bewohner*innen zum gemeinsamen Spielen und Geschichten entwickeln - ganz entspannt bei Kaffee und Kuchen.,_demo.instructor_06,blog.blog_1,,True,True,2025-11-25,{},_demo.event_nachbarschaftstheater_laim,https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=1200&h=800&fit=crop,,,,active
_demo.post_018,Migration und Identität auf der Bühne,Biografisches Theater in Augsburg,In der Augsburger Probebühne entstehen Performances über Migration und Identität. Teilnehmer*innen aus verschiedenen Kulturen erzählen ihre Geschichten und entwickeln gemeinsam neue Narrative über das Ankommen in Deutschland.,_demo.instructor_04,blog.blog_1,,True,True,2025-11-28,{},_demo.event_kulturpark_augsburg,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=1200&h=800&fit=crop,,,,active
_demo.post_019,Generation Social Media,Jugendtheater über digitale Identität,Claudia Bauer entwickelt mit Jugendlichen Performances über Selbstdarstellung im Netz. Das Theaterprojekt 'Social Media & Ich' hinterfragt kritisch den Umgang mit digitalen Medien und zeigt alternative Wege der Kommunikation auf.,_demo.instructor_13,blog.blog_1,,True,True,2025-12-01,{},_demo.event_juku_augsburg,https://images.unsplash.com/photo-1521146764736-56c929d59c83?w=1200&h=800&fit=crop,,,,active
_demo.post_020,Theater-Retreat im Grünen,Intensives Wochenende auf dem Land,"Ayşe Yılmaz kombiniert Theater mit Naturerfahrung. Das Theater-Retreat Wochenende bietet Raum für intensive Ensemble-Bildung, kreative Prozesse und gemeinsames Kochen - abseits der Stadt in ländlicher Atmosphäre.",_demo.instructor_15,blog.blog_1,,True,True,2025-12-03,{},_demo.event_retreat_stadtbergen,https://images.unsplash.com/photo-1503095396549-807759245b35?w=1200&h=800&fit=crop,,,,active
_demo.post_021,Theater für alle,Barrierefreie Theaterarbeit in Königsbrunn,"Nina Braun entwickelt inklusive Theaterformate mit vielfältigen Zugängen. Ihr Workshop zeigt, wie Theater für Menschen mit unterschiedlichen Fähigkeiten gestaltet werden kann - ein wichtiger Beitrag zur kulturellen Teilhabe.",_demo.instructor_09,blog.blog_1,,True,True,2025-12-05,{},_demo.event_inklusion_koenigsbrunn,https://images.unsplash.com/photo-1594744803329-e58b31de8bf5?w=1200&h=800&fit=crop,,,,active
_demo.post_022,Schwäbische Geschichten zeitgemäß erzählt,Regionales Erzähltheater,"Monika Schuster verbindet schwäbische Traditionen mit zeitgenössischer Performance. Ihr Erzähltheater-Workshop zeigt, wie regionale Geschichten für heutige Zuschauer*innen relevant bleiben und neue Bedeutung gewinnen.",_demo.instructor_19,blog.blog_1,,True,True,2025-12-08,{},_demo.event_regional_schwaben,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?w=1200&h=800&fit=crop,,,,active
_demo.post_023,Stadtteile im Fokus,Community Theater in Nürnberg Süd,"Robert Lang entwickelt partizipative Theaterprojekte für Stadtteile. Sein Community Theater Workshop in Nürnberg Süd zeigt, wie Bewohner*innen ihre Viertel durch Theater neu entdecken und gemeinsam Visionen entwickeln.",_demo.instructor_16,blog.blog_1,,True,True,2025-12-10,{},_demo.event_stadtteater_nuernberg,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?w=1200&h=800&fit=crop,,,,active
_demo.post_024,Theater und soziale Gerechtigkeit,Aktivismus durch Performance,"Sebastian Wolf verbindet künstlerische Praxis mit gesellschaftlichem Engagement. Seine Workshops im Kulturladen Zabo zeigen, wie Theater als Werkzeug für soziale Veränderung eingesetzt werden kann.",_demo.instructor_12,blog.blog_1,,True,True,2025-12-12,{},_demo.event_soziokulturell_zabo,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=1200&h=800&fit=crop,,,,active
_demo.post_025,Kulturen verbinden durch Theater,Interkulturelles Jugendtheater Langwasser,"Nina Braun leitet interkulturelle Theaterprojekte im Jugendhaus Langwasser. 30 Jugendliche aus verschiedenen Herkunftsländern entwickeln gemeinsam Performances und zeigen, wie kulturelle Vielfalt zur Stärke wird.",_demo.instructor_09,blog.blog_1,,True,True,2025-12-15,{},_demo.event_interkulturell_langwasser,https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e?w=1200&h=800&fit=crop,,,,active
_demo.post_026,Improtheater für Einsteiger*innen,Erste Schritte ohne Skript,"Oliver Schulz führt in die Grundlagen des Improtheaters ein. Sein Schnupperkurs in Fürth zeigt Anfänger*innen, wie aus spontanen Impulsen kleine Theaterstücke entstehen - spielerisch und ohne Leistungsdruck.",_demo.instructor_10,blog.blog_1,,True,True,2025-12-18,{},_demo.event_impro_fuerth,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=1200&h=800&fit=crop,,,,active
_demo.post_027,Studentisches Theaterlab,Künstlerische Forschung an der Universität,Viktor Novák leitet experimentelle Theaterworkshops für Studierende. Das Performance Lab in Erlangen bietet Raum für innovative Formate und künstlerische Forschung jenseits etablierter Theaterformen.,_demo.instructor_18,blog.blog_1,,True,True,2025-12-20,{},_demo.event_student_erlangen,https://images.unsplash.com/photo-1531427186611-ecfd6d936c79?w=1200&h=800&fit=crop,,,,active
_demo.post_028,Mezinárodní divadelní most,Český a německý dialog přes hranice,"Katarina Svoboda organizuje v Plzni mezinárodní divadelní workshop pro německé a české mladé lidi. Třídenní projekt ukazuje, jak divadlo překonává jazykové bariéry a vytváří nové přátelství přes hranice.",_demo.instructor_17,blog.blog_1,,True,True,2025-12-22,{},_demo.event_mezinarodni_plzen,https://images.unsplash.com/photo-1546672741-d327539d5f13?w=1200&h=800&fit=crop,,,,active
_demo.post_029,Divadlo na hranici,Společná česko-německá historie v Aši,Jan Černý vytváří divadelní projekty o společné česko-německé historii v příhraničí. Jeho workshop v Aši zkoumá minulost i současnost regionu prostřednictvím divadelních metod a komunitního storytellingu.,_demo.instructor_20,blog.blog_1,,True,True,2025-12-25,{},_demo.event_hraniční_as,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?w=1200&h=800&fit=crop,,,,active
_demo.post_030,Aplikované divadlo v Praze,Viktor Novák o sociálně angažovaném divadle,"Viktor Novák vede seminář aplikovaného divadla v pražském Studio Ypsilon. Účastníci se učí metody sociálně angažovaného divadla a zkoumají, jak může performance měnit společnost a podporovat dialog o aktuálních tématech.",_demo.instructor_18,blog.blog_1,,True,True,2025-12-28,{},_demo.event_aplikovane_praha_ypsilon,https://images.unsplash.com/photo-1531427186611-ecfd6d936c79?w=1200&h=800&fit=crop,,,,active